,fecha,hora,edad,genero,barrio,pregunta_1,pregunta_2,pregunta_3,pregunta_4,pregunta_5,pregunta_6,pregunta_7,pregunta_8,pregunta_9,pregunta_10,pregunta_11,pregunta_12,pregunta_13,barrio_completo,poblacion_por_barrio
0,2019-06-14,09:09:00,27,Mujer,Constitucion,A,A,A,B,A,B,C,C,B,C,B,C,C,Constitucion,44107
1,2019-06-13,23:20:00,17,Mujer,Otro,A,B,B,B,B,C,C,B,B,C,B,C,C,Flores,164310
2,2019-06-13,16:33:00,15,Mujer,Recoleta,B,B,C,B,C,B,B,A,A,A,A,A,A,Recoleta,157932
3,2019-06-13,16:10:00,20,Mujer,Barracas,B,C,C,C,C,C,C,C,C,C,B,C,C,Barracas,89452
4,2019-06-13,14:29:00,39,Hombre,Almagro,B,C,B,B,C,C,B,C,B,C,C,B,C,Almagro,131699
5,2019-06-13,14:26:00,32,Mujer,Almagro,C,C,C,B,C,C,C,B,C,C,C,B,C,Almagro,131699
6,2019-06-13,11:52:00,21,Mujer,Puerto madero,A,C,C,B,B,C,C,B,C,C,B,A,B,Puerto madero,6726
7,2019-06-12,17:57:00,28,Mujer,Barracas,B,C,C,A,B,B,C,C,C,C,B,B,B,Barracas,89452
8,2019-06-12,17:23:00,16,Mujer,Otro,B,C,B,C,C,C,B,C,C,B,B,C,B,Balvanera,138926
9,2019-06-12,13:35:00,22,Mujer,Otro,B,A,B,A,A,A,B,B,B,C,B,A,C,Villa soldati,46779
10,2019-06-12,13:33:00,22,Mujer,Otro,B,A,A,A,A,A,B,A,B,C,B,A,C,Villa santa rita,33325
11,2019-06-12,13:26:00,18,Mujer,Balvanera,B,C,B,B,C,C,B,B,C,C,C,A,C,Balvanera,138926
12,2019-06-12,13:25:00,18,Mujer,Almagro,A,A,A,A,C,C,C,C,C,C,B,A,C,Almagro,131699
13,2019-06-12,12:34:00,20,Mujer,Caballito,A,B,B,A,B,A,A,B,A,B,A,B,B,Caballito,176076
14,2019-06-12,11:25:00,31,Hombre,Villa urquiza,C,C,C,C,C,C,B,B,C,C,C,C,C,Villa urquiza,91563
15,2019-06-12,03:53:00,36,Hombre,Agronomia,B,B,B,C,C,C,C,B,B,B,C,B,A,Agronomia,13912
16,2019-06-12,01:45:00,20,Mujer,Otro,B,B,A,A,C,C,C,C,A,C,A,A,C,Caballito,176076
17,2019-06-12,00:56:00,23,Mujer,Caballito,A,A,A,A,B,B,B,B,B,B,A,A,C,Caballito,176076
18,2019-06-12,00:46:00,18,Hombre,Otro,B,B,A,A,C,A,C,B,B,C,A,A,C,Villa pueyrredon,39654
19,2019-06-11,20:50:00,35,Mujer,Almagro,B,C,C,B,B,C,C,C,B,B,B,C,C,Almagro,131699
20,2019-06-11,16:04:00,24,Hombre,Coghlan,C,C,A,A,B,C,B,C,C,A,B,C,C,Coghlan,18604
21,2019-06-11,15:11:00,25,Otro,Balvanera,A,B,A,B,A,B,A,A,A,A,A,A,B,Balvanera,138926
22,2019-06-11,12:16:00,44,Hombre,Flores,C,C,C,B,C,C,C,C,C,C,C,C,C,Flores,164310
23,2019-06-11,11:20:00,19,Mujer,Villa urquiza,C,C,C,C,C,C,C,C,C,C,C,C,C,Villa urquiza,91563
24,2019-06-11,10:16:00,21,Mujer,Otro,B,B,A,B,C,B,C,B,B,A,B,C,C,Villa crespo,81959
25,2019-06-11,09:05:00,14,Hombre,Otro,C,C,B,B,C,B,C,B,B,C,C,C,C,Palermo,226534
26,2019-06-11,09:00:00,15,Mujer,Otro,C,C,C,C,C,B,C,C,C,C,C,C,B,Parque chas,17489
27,2019-06-11,08:59:00,14,Hombre,Floresta,C,C,C,B,C,C,B,C,C,C,C,C,C,Floresta,37575
28,2019-06-11,08:56:00,14,Mujer,Belgrano,B,C,B,B,C,C,C,C,C,C,C,B,C,Belgrano,126267
29,2019-06-11,08:54:00,15,Hombre,Barracas,B,C,B,C,C,B,C,C,A,C,C,B,C,Barracas,89452
30,2019-06-11,08:53:00,14,Mujer,La boca,C,C,B,C,C,B,C,C,C,C,C,C,C,Boca,45113
31,2019-06-11,08:53:00,14,Mujer,Recoleta,B,C,C,B,C,C,C,C,C,C,C,B,C,Recoleta,157932
32,2019-06-11,08:30:00,51,Mujer,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Villa santa rita,33325
33,2019-06-11,07:46:00,42,Hombre,Otro,B,A,C,B,B,B,B,C,C,C,C,C,C,Barracas,89452
34,2019-06-11,02:45:00,24,Mujer,Otro,B,B,C,C,B,C,C,B,C,A,A,C,C,Villa lugano,126374
35,2019-06-10,22:51:00,22,Mujer,Palermo,B,C,B,B,C,A,B,B,C,C,B,C,C,Palermo,226534
36,2019-06-10,22:30:00,20,Mujer,Caballito,B,C,B,B,C,C,A,B,C,C,A,C,C,Caballito,176076
37,2019-06-10,15:59:00,55,Mujer,Belgrano,C,C,C,B,C,B,C,C,C,C,C,B,C,Belgrano,126267
38,2019-06-10,14:37:00,33,Mujer,Palermo,C,C,C,C,C,C,C,C,C,C,C,B,C,Palermo,226534
39,2019-06-10,13:38:00,36,Mujer,Otro,B,C,C,C,C,B,C,C,C,C,C,B,C,San nicolas,29273
40,2019-06-10,13:15:00,57,Mujer,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Villa del parque,55273
41,2019-06-10,12:31:00,46,Mujer,Otro,C,C,C,C,B,B,C,B,C,C,C,C,C,San cristobal,48611
42,2019-06-10,11:58:00,59,Mujer,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Parque patricios,40985
43,2019-06-10,11:34:00,42,Mujer,Otro,C,C,B,B,C,C,C,C,B,C,C,C,C,Barracas,89452
44,2019-06-10,11:16:00,26,Mujer,Villa devoto,C,C,C,C,C,C,C,C,C,C,C,C,C,Villa devoto,66521
45,2019-06-10,10:23:00,38,Hombre,Balvanera,B,A,A,A,A,B,B,B,A,A,B,B,C,Balvanera,138926
46,2019-06-10,06:14:00,33,Mujer,Chacarita,B,C,B,C,B,B,B,B,C,C,B,C,B,Chacarita,27761
47,2019-06-10,05:19:00,26,Mujer,Otro,B,B,B,A,B,B,A,A,A,C,C,C,A,Villa soldati,46779
48,2019-06-09,23:06:00,22,Mujer,Chacarita,C,C,B,A,A,B,A,B,C,B,C,C,C,Chacarita,27761
49,2019-06-09,22:37:00,99,Mujer,Barracas,A,A,A,A,A,A,A,A,A,A,A,A,A,Barracas,89452
50,2019-06-09,22:35:00,6,Mujer,Nunez,A,B,A,B,B,B,A,A,A,A,A,A,A,Nunez,51949
51,2019-06-09,21:48:00,34,Hombre,Villa lugano,B,A,B,B,B,A,A,B,B,B,A,A,C,Villa lugano,126374
52,2019-06-09,19:47:00,18,Mujer,Belgrano,A,B,A,A,A,A,A,B,B,C,A,A,A,Belgrano,126267
53,2019-06-09,19:04:00,15,Mujer,Agronomia,C,C,C,C,C,C,C,C,C,C,C,C,C,Agronomia,13912
54,2019-06-09,18:06:00,34,Hombre,Otro,B,B,A,B,C,C,C,C,B,C,B,C,C,Constitucion,44107
55,2019-06-09,15:20:00,21,Mujer,Otro,C,B,B,B,C,C,C,B,C,C,B,C,C,Villa gral. mitre,34713
56,2019-06-09,09:11:00,43,Mujer,Recoleta,A,A,C,B,C,B,C,C,C,C,C,A,C,Recoleta,157932
57,2019-06-08,23:02:00,27,Mujer,Belgrano,B,C,C,B,B,A,B,C,C,C,B,C,C,Belgrano,126267
58,2019-06-08,09:13:00,30,Mujer,Belgrano,C,C,C,C,B,C,C,C,C,C,C,C,C,Belgrano,126267
59,2019-06-08,04:42:00,20,Mujer,Almagro,B,B,B,A,B,A,C,B,C,C,B,C,A,Almagro,131699
60,2019-06-07,19:05:00,16,Mujer,Caballito,B,B,B,B,B,B,A,B,B,B,B,A,C,Caballito,176076
61,2019-06-07,17:42:00,43,Mujer,Montserrat,A,A,B,C,A,B,C,C,C,C,A,B,C,Monserrat,39914
62,2019-06-07,15:14:00,24,Mujer,Belgrano,C,C,C,C,C,C,C,C,C,C,C,C,C,Belgrano,126267
63,2019-06-07,14:42:00,26,Mujer,Balvanera,B,B,A,C,A,A,C,B,B,C,C,C,C,Balvanera,138926
64,2019-06-07,13:24:00,26,Mujer,Otro,B,B,A,B,C,C,B,B,C,C,C,B,A,Villa gral. mitre,34713
65,2019-06-07,13:13:00,18,Mujer,Otro,A,B,A,B,A,A,A,B,A,A,A,A,B,Coghlan,18604
66,2019-06-06,22:03:00,31,Hombre,Otro,B,A,A,A,B,A,C,C,C,A,A,A,B,Villa del parque,55273
67,2019-06-06,20:56:00,20,Mujer,Otro,A,B,A,B,B,A,C,B,B,C,A,B,A,Parque avellaneda,53229
68,2019-06-06,20:56:00,15,Mujer,Otro,B,B,A,C,C,B,B,C,B,C,A,A,B,Puerto madero,6726
69,2019-06-06,19:34:00,22,Mujer,Villa del parque,C,C,C,C,C,C,C,C,C,C,C,B,C,Villa del parque,55273
70,2019-06-06,16:33:00,18,Hombre,Nunez,A,A,A,A,A,A,A,A,A,A,A,A,A,Nunez,51949
71,2019-06-06,15:40:00,40,Hombre,Agronomia,B,C,A,B,A,A,B,A,A,A,A,A,A,Agronomia,13912
72,2019-06-06,14:45:00,23,Mujer,Barracas,B,B,A,B,B,C,C,B,C,A,B,B,B,Barracas,89452
73,2019-06-06,13:35:00,15,Mujer,Palermo,B,B,B,C,C,C,C,C,C,C,C,C,A,Palermo,226534
74,2019-06-06,12:35:00,24,Mujer,Otro,B,C,B,B,B,B,B,B,C,B,A,A,B,Liniers,44132
75,2019-06-06,12:18:00,18,Mujer,Otro,A,A,B,B,A,A,B,B,B,C,A,A,C,Nueva pompeya,42695
76,2019-06-06,09:31:00,28,Mujer,Parque chacabuco,B,B,B,A,C,C,C,B,C,B,A,B,C,Parque chacabuco,56281
77,2019-06-06,07:41:00,31,Mujer,Flores,C,B,B,B,C,C,C,B,B,C,C,C,C,Flores,164310
78,2019-06-06,02:52:00,20,Mujer,Otro,A,A,B,B,A,A,C,C,C,C,B,C,C,Paternal,19717
79,2019-06-06,02:50:00,20,Mujer,Otro,A,A,B,B,B,A,C,C,C,C,B,C,C,Puerto madero,6726
80,2019-06-06,00:31:00,19,Mujer,Otro,C,A,B,C,C,C,C,C,A,C,C,B,C,San nicolas,29273
81,2019-06-06,00:02:00,31,Mujer,Otro,B,B,A,C,A,B,C,C,C,B,A,C,B,Villa urquiza,91563
82,2019-06-05,23:44:00,36,Mujer,Belgrano,B,C,C,B,B,B,B,C,C,C,B,B,C,Belgrano,126267
83,2019-06-05,21:51:00,54,Hombre,Otro,B,B,B,A,B,B,B,B,B,B,B,B,A,Retiro,65413
84,2019-06-05,21:44:00,54,Hombre,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Versalles,13822
85,2019-06-05,17:09:00,35,Mujer,Agronomia,B,C,B,B,C,B,B,C,C,C,C,C,C,Agronomia,13912
86,2019-06-05,16:51:00,25,Mujer,Otro,B,C,B,C,C,B,C,B,C,B,A,C,C,Constitucion,44107
87,2019-06-05,16:17:00,44,Hombre,Villa urquiza,C,C,C,C,C,C,B,C,B,C,C,C,C,Villa urquiza,91563
88,2019-06-05,16:14:00,25,Mujer,Agronomia,B,B,A,A,A,A,A,A,A,A,A,A,A,Agronomia,13912
89,2019-06-05,15:57:00,21,Mujer,Otro,A,C,B,C,B,A,C,C,C,C,B,C,C,Monte castro,33623
90,2019-06-05,15:16:00,18,Mujer,Villa pueyrredon,A,B,C,C,C,B,C,C,C,C,C,C,C,Villa pueyrredon,39654
91,2019-06-05,15:12:00,19,Mujer,Otro,C,B,B,C,C,C,C,B,C,C,C,C,C,Monte castro,33623
92,2019-06-05,15:12:00,18,Mujer,Palermo,B,C,C,C,C,C,C,C,C,C,B,C,C,Palermo,226534
93,2019-06-05,12:02:00,39,Hombre,Agronomia,A,A,A,A,A,A,A,A,A,A,A,A,A,Agronomia,13912
94,2019-06-05,11:10:00,34,Mujer,Otro,B,C,C,A,B,A,C,A,B,C,C,C,B,Colegiales,52551
95,2019-06-05,10:12:00,34,Mujer,La boca,B,A,B,B,C,B,A,C,A,C,C,B,B,Boca,45113
