,genero_Hombre,genero_Mujer,genero_Otro,barrio_completo_Agronomia,barrio_completo_Almagro,barrio_completo_Balvanera,barrio_completo_Barracas,barrio_completo_Belgrano,barrio_completo_Boca,barrio_completo_Boedo,barrio_completo_Caballito,barrio_completo_Chacarita,barrio_completo_Coghlan,barrio_completo_Colegiales,barrio_completo_Constitucion,barrio_completo_Flores,barrio_completo_Floresta,barrio_completo_Liniers,barrio_completo_Mataderos,barrio_completo_Monserrat,barrio_completo_Monte castro,barrio_completo_Nueva pompeya,barrio_completo_Nunez,barrio_completo_Palermo,barrio_completo_Parque avellaneda,barrio_completo_Parque chacabuco,barrio_completo_Parque chas,barrio_completo_Parque patricios,barrio_completo_Paternal,barrio_completo_Puerto madero,barrio_completo_Recoleta,barrio_completo_Retiro,barrio_completo_Saavedra,barrio_completo_San cristobal,barrio_completo_San nicolas,barrio_completo_San telmo,barrio_completo_Velez sarsfield,barrio_completo_Versalles,barrio_completo_Villa crespo,barrio_completo_Villa del parque,barrio_completo_Villa devoto,barrio_completo_Villa gral. mitre,barrio_completo_Villa lugano,barrio_completo_Villa luro,barrio_completo_Villa ortuzar,barrio_completo_Villa pueyrredon,barrio_completo_Villa real,barrio_completo_Villa riachuelo,barrio_completo_Villa santa rita,barrio_completo_Villa soldati,barrio_completo_Villa urquiza,pregunta_1_A,pregunta_1_B,pregunta_1_C,pregunta_2_A,pregunta_2_B,pregunta_2_C,pregunta_3_A,pregunta_3_B,pregunta_3_C,pregunta_4_A,pregunta_4_B,pregunta_4_C,pregunta_5_A,pregunta_5_B,pregunta_5_C,pregunta_6_A,pregunta_6_B,pregunta_6_C,pregunta_7_A,pregunta_7_B,pregunta_7_C,pregunta_8_A,pregunta_8_B,pregunta_8_C,pregunta_9_A,pregunta_9_B,pregunta_9_C,pregunta_10_A,pregunta_10_B,pregunta_10_C,pregunta_11_A,pregunta_11_B,pregunta_11_C,pregunta_12_A,pregunta_12_B,pregunta_12_C,edad_scaled,poblacion_por_barrio_scaled,target
3345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.7166968079437407,0.6453022497896601,False
4307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.07910183497147086,-0.34090856363870353,False
4104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.26195472627790556,-0.35671420929280223,False
4258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,-0.9885859983031412,2.265664039671468,False
3060,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,-0.3064728758043885,-1.1755340139361512,True
3792,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,-0.07910183497147086,0.8483651609976918,True
1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,-0.07910183497147086,-1.1740780179188852,False
3862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0.37564024669436435,-0.6127268423287409,False
5607,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.7166968079437407,-0.5489865722395403,False
4370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,-0.8749004778866825,-0.791264309512603,False
